day,S_total,I_total,R_total,D_total,new_inf_total,infected_accum_total,R_t
0,,284,,,191,291,0.6725352112676056
1,,709,,,446,737,0.6290550070521862
2,,1412,,,726,1463,0.5141643059490085
3,,2389,,,1034,2497,0.43281707827542903
4,,3621,,,1350,3847,0.3728251864125932
5,,5135,,,1685,5532,0.3281402142161636
6,,6906,,,2025,7557,0.2932232841007819
7,,8944,,,2380,9937,0.26610017889087656
8,,11289,,,2775,12712,0.24581450969970767
9,,13759,,,3070,15782,0.22312668071807545
10,,16533,,,3457,19239,0.20909695759995162
11,,19615,,,3922,23161,0.19994901860820802
12,,22893,,,4231,27392,0.1848163193989429
13,,26227,,,4526,31918,0.1725702520303504
14,,29791,,,4914,36832,0.16494914571514888
15,,33530,,,5244,42076,0.15639725618848793
16,,37383,,,5554,47630,0.14857020570847712
17,,41301,,,5870,53500,0.14212730926611947
18,,45475,,,6278,59778,0.13805387575590983
19,,49617,,,6495,66273,0.13090271479533225
20,,53899,,,6811,73084,0.1263659808159706
21,,58362,,,7248,80332,0.1241903978616223
22,,62948,,,7648,87980,0.12149710872466163
23,,67332,,,7673,95653,0.1139577021327155
24,,71988,,,8068,103721,0.11207423459465467
25,,76761,,,8388,112109,0.10927424082541916
26,,81305,,,8564,120673,0.1053317754135662
27,,85789,,,8790,129463,0.10246068843324901
28,,90522,,,9123,138586,0.10078213031086365
29,,95431,,,9496,148082,0.09950644968616068
30,,100282,,,9677,157759,0.09649787598970902
31,,104893,,,9777,167536,0.09320927039935935
32,,109453,,,9903,177439,0.09047719112313048
33,,113967,,,10229,187668,0.08975405161143138
34,,118590,,,10358,198026,0.08734294628552154
35,,123120,,,10604,208630,0.08612735542560104
36,,127466,,,10793,219423,0.08467356000815904
37,,131787,,,10876,230299,0.08252710813661439
38,,136158,,,11059,241358,0.0812218158316074
39,,140501,,,11287,252645,0.08033394780108327
40,,144563,,,11330,263975,0.07837413446040827
41,,148499,,,11431,275406,0.0769769493397262
42,,152187,,,11257,286663,0.07396821016249745
43,,155499,,,11143,297806,0.0716596248207384
44,,158780,,,11327,309133,0.07133769996221187
45,,161830,,,11218,320351,0.06931965642958661
46,,165259,,,11526,331877,0.06974506683448405
47,,168539,,,11648,343525,0.06911160028242722
48,,171482,,,11618,355143,0.06775055107824728
49,,174566,,,11660,366803,0.06679422109689172
50,,177297,,,11639,378442,0.06564690885914595
51,,179959,,,11615,390057,0.06454247912024405
52,,182438,,,11642,401699,0.06381345991514925
53,,184760,,,11516,413215,0.062329508551634556
54,,186855,,,11563,424778,0.06188220812929812
55,,188760,,,11396,436174,0.060372960372960374
56,,190639,,,11411,447585,0.05985658758176449
57,,192432,,,11500,459085,0.05976137025027022
58,,194020,,,11420,470505,0.05885991134934543
59,,195313,,,11347,481852,0.05809649127298234
60,,196808,,,11414,493266,0.057995609934555506
61,,197891,,,11272,504538,0.056960650054828164
62,,198977,,,11152,515690,0.05604667876186695
63,,199917,,,11085,526775,0.055448010924533685
64,,200703,,,11073,537848,0.05517107367602876
65,,201309,,,10830,548678,0.053797892791678466
66,,201783,,,10747,559425,0.05326018544674229
67,,202380,,,10835,570260,0.05353789900187766
68,,202552,,,10599,580859,0.0523273036059876
69,,202632,,,10578,591437,0.052203008409333174
70,,202617,,,10340,601777,0.05103224309904895
71,,202524,,,10243,612020,0.05057672177124686
72,,202313,,,10167,622187,0.05025381463376056
73,,201979,,,9931,632118,0.049168477911069965
74,,201422,,,9757,641875,0.04844058742341949
75,,200857,,,9659,651534,0.048088938896827096
76,,200108,,,9601,661135,0.04797909129070302
77,,199158,,,9299,670434,0.046691571516082706
78,,198209,,,9070,679504,0.04575977881932707
79,,196791,,,8874,688378,0.04509352561854963
80,,195636,,,8866,697244,0.0453188574699953
81,,194251,,,8548,705792,0.04400492146758575
82,,192557,,,8273,714065,0.042963901597968396
83,,190930,,,8059,722124,0.04220918661289478
84,,188898,,,7757,729881,0.041064489830490526
85,,186917,,,7712,737593,0.04125895450922067
86,,184709,,,7366,744959,0.03987894471844902
87,,182298,,,7154,752113,0.039243436570889426
88,,179912,,,6944,759057,0.03859664724976655
89,,177726,,,6812,765869,0.03832866322316374
90,,175248,,,6590,772459,0.03760385282570985
91,,172808,,,6409,778868,0.03708740336095551
92,,170273,,,6358,785226,0.03734003629465623
93,,167770,,,6054,791280,0.0360851165285808
94,,165245,,,6041,797321,0.036557838361221215
95,,162638,,,5811,803132,0.03572965727566743
96,,160049,,,5626,808758,0.03515173478122325
97,,157376,,,5493,814251,0.034903670191134606
98,,154789,,,5456,819707,0.03524798273779144
99,,152272,,,5323,825030,0.03495718188504781
100,,149917,,,5331,830361,0.03555967635424935
101,,147205,,,5014,835375,0.034061343025033115
102,,144575,,,4838,840213,0.03346360020750475
103,,141972,,,4830,845043,0.034020792832389485
104,,139458,,,4765,849808,0.034167993230936916
105,,136929,,,4634,854442,0.033842356257622566
106,,134416,,,4430,858872,0.03295738602547316
107,,131743,,,4157,863029,0.031553858649036384
108,,129172,,,4152,867181,0.032143188926392716
109,,126623,,,4062,871243,0.03207948003127394
110,,124057,,,3876,875119,0.031243702491596605
111,,121472,,,3755,878874,0.030912473656480505
112,,118809,,,3550,882424,0.029879891254029577
113,,116257,,,3422,885846,0.029434786722519934
114,,113710,,,3378,889224,0.029707149766951015
115,,111247,,,3291,892515,0.029582820210882092
116,,108840,,,3250,895765,0.02986034546122749
117,,106505,,,3190,898955,0.029951645462654334
118,,104175,,,3160,902115,0.03033357331413487
119,,101927,,,3007,905122,0.029501505979769835
120,,99677,,,2964,908086,0.029736047433209265
121,,97428,,,2784,910870,0.028574947653651928
122,,95187,,,2757,913627,0.028964039207034574
123,,93007,,,2581,916208,0.027750599417248164
124,,91016,,,2647,918855,0.029082798628812516
125,,88813,,,2513,921368,0.02829540720390033
126,,86820,,,2510,923878,0.02891038931121861
127,,84854,,,2465,926343,0.029049897470950103
128,,82812,,,2390,928733,0.028860551610877652
129,,81011,,,2402,931135,0.029650294404463592
130,,79214,,,2302,933437,0.029060519605120308
131,,77510,,,2290,935727,0.02954457489356212
132,,75766,,,2193,937920,0.02894438138479001
133,,74042,,,2177,940097,0.02940223116609492
134,,72401,,,2130,942227,0.029419483156309996
135,,70818,,,2077,944304,0.029328701742494846
136,,69273,,,2077,946381,0.02998282158994125
137,,67855,,,1978,948359,0.029150394222975464
138,,66314,,,1950,950309,0.029405555388002533
139,,64862,,,1925,952234,0.029678394129074033
140,,63299,,,1896,954130,0.029953079827485428
141,,61874,,,1854,955984,0.029964120632252643
142,,60503,,,1752,957736,0.028957241789663322
143,,59137,,,1727,959463,0.029203375213487325
144,,57688,,,1575,961038,0.0273020385522119
145,,56282,,,1513,962551,0.026882484630965497
146,,54885,,,1486,964037,0.02707479274847408
147,,53298,,,1365,965402,0.0256107171000788
148,,51941,,,1329,966731,0.02558672339770124
149,,50518,,,1222,967953,0.024189397838394237
150,,49191,,,1183,969136,0.02404911467544876
151,,47907,,,1181,970317,0.024651929780616613
152,,46684,,,1131,971448,0.024226715791277526
153,,45329,,,1102,972550,0.024311147389088662
154,,44051,,,1023,973573,0.02322308233638283
155,,42770,,,990,974563,0.02314706570025719
156,,41543,,,986,975549,0.02373444382928532
157,,40357,,,896,976445,0.022201848502118593
158,,39112,,,872,977317,0.022294947842094497
159,,37947,,,847,978164,0.022320605054418005
160,,36791,,,861,979025,0.02340246255877796
161,,35725,,,779,979804,0.021805458362491252
162,,34674,,,752,980556,0.021687719905404627
163,,33601,,,653,981209,0.01943394541829112
164,,32460,,,629,981838,0.019377695625385088
165,,31411,,,596,982434,0.018974244691350162
166,,30448,,,590,983024,0.01937729900157646
167,,29431,,,536,983560,0.018212089293601984
168,,28446,,,522,984082,0.018350558953807213
169,,27477,,,479,984561,0.017432761946355135
170,,26508,,,456,985017,0.017202354006337708
171,,25594,,,430,985447,0.01680081269047433
172,,24654,,,374,985821,0.015169952137584165
173,,23770,,,371,986192,0.015607909129154397
174,,22873,,,370,986562,0.016176277707340533
175,,22089,,,356,986918,0.016116619131694508
176,,21293,,,337,987255,0.015826797539097357
177,,20508,,,317,987572,0.015457382484883948
