day,S,I,R,D,new_inf,infected_accum,R_t
0,999707,287,6,0,193,293,0.6724738675958188
1,999309,670,21,0,398,691,0.5940298507462687
2,998647,1302,51,0,662,1353,0.5084485407066052
3,997678,2216,106,0,969,2322,0.43727436823104693
4,996315,3454,230,1,1363,3685,0.39461493920092644
5,994655,4921,421,3,1660,5345,0.33732981101402154
6,992703,6634,656,7,1952,7297,0.29424178474525176
7,990344,8654,989,13,2359,9656,0.2725907094984978
8,987578,10966,1437,19,2766,12422,0.25223417836950573
9,984471,13459,2042,28,3107,15529,0.23084924585779032
10,980966,16253,2741,40,3505,19034,0.21565249492401403
11,977149,19221,3567,63,3817,22851,0.19858488111960876
12,972997,22402,4517,84,4152,27003,0.18534059458976876
13,968491,25802,5595,112,4506,31509,0.17463762499031082
14,963545,29427,6892,136,4946,36455,0.1680769361470758
15,958341,33211,8283,165,5204,41659,0.15669507091024057
16,952825,37094,9887,194,5516,47175,0.14870329433331536
17,947021,41034,11707,238,5804,52979,0.14144368085002682
18,940919,44947,13854,280,6102,59081,0.13575989498742963
19,934377,49223,16077,323,6542,65623,0.13290534912540886
20,927629,53524,18482,365,6748,72371,0.1260742844331515
21,920412,58014,21152,422,7217,79588,0.12440100665356638
22,913026,62408,24094,472,7386,86974,0.1183502115113447
23,905259,66974,27219,548,7767,94741,0.11597037656403977
24,897324,71633,30424,619,7935,102676,0.11077296776625298
25,889003,76242,34065,690,8321,110997,0.10913931953516434
26,880425,80955,37844,776,8578,119575,0.10596010129084059
27,871574,85636,41926,864,8851,128426,0.10335606520622168
28,862392,90428,46241,939,9182,137608,0.10153934622019728
29,853011,95132,50837,1020,9381,146989,0.09861035193205231
30,843399,100027,55480,1094,9612,156601,0.09609405460525658
31,833446,104911,60455,1188,9953,166554,0.09487089056438315
32,823512,109549,65664,1275,9934,176488,0.09068088252745347
33,813259,114260,71103,1378,10253,186741,0.08973394013653072
34,802943,118830,76735,1492,10316,197057,0.08681309433644703
35,792288,123536,82573,1603,10655,207712,0.08625016189612744
36,781709,127734,88838,1719,10579,218291,0.08282054895329356
37,770981,131870,95290,1859,10728,229019,0.08135284750132707
38,760241,135924,101848,1987,10740,239759,0.07901474353315088
39,749260,139902,108733,2105,10981,250740,0.07849065774613657
40,738319,143765,115680,2236,10941,261681,0.07610336312732584
41,727293,147267,123074,2366,11026,272707,0.0748708128772909
42,716192,150808,130496,2504,11101,283808,0.07361015330751684
43,705034,154166,138145,2655,11158,294966,0.07237652919580193
44,693774,157548,145865,2813,11260,306226,0.07147028207276512
45,682653,160556,153819,2972,11121,317347,0.06926555220608385
46,671320,163745,161811,3124,11333,328680,0.06921127362667562
47,659906,166832,169989,3273,11414,340094,0.06841613119785173
48,648632,169492,178435,3441,11274,351368,0.06651641375404149
49,637132,172443,186823,3602,11500,362868,0.06668870293372303
50,625834,175012,195397,3757,11298,374166,0.06455557333211437
51,614406,177467,204196,3931,11428,385594,0.06439507063285005
